,sector,pair,adf_stat,p_value
0,Communication Services,IYZ & XLC,-1.6671670631507265,0.6917265308935983
1,Communication Services,IYZ & VOX,-1.6573637851439336,0.6960819565315762
2,Communication Services,VOX & XLC,-1.5460164145453366,0.7431272926877359
3,Consumer Discretionary,XLY & XHB,-2.6173304927408574,0.2299062274778365
4,Consumer Discretionary,VCR & XHB,-2.430251538173297,0.3106642443106832
5,Consumer Discretionary,IYC & XHB,-2.2179879964807108,0.4151077860761371
6,Consumer Discretionary,XLY & IYC,-1.8654280691751128,0.5974325717271157
7,Consumer Discretionary,XLY & VCR,-1.8580897457597323,0.6011014870822218
8,Consumer Discretionary,IYC & VCR,-0.43116456361420336,0.9688865050257963
9,Consumer Staples,XLP & IYK,-2.690002317579725,0.20319500964814657
10,Consumer Staples,XLP & VDC,-2.2374971992201145,0.40511965599499333
11,Consumer Staples,IYK & VDC,-1.6933079403503386,0.6799545540108729
12,Energy,IYE & XOP,-3.3059328551708917,0.0539254441327029
13,Energy,VDE & XOP,-3.254725988664465,0.06124257968351272
14,Energy,XLE & IYE,-3.229596895227615,0.06511610870646807
15,Energy,XLE & XOP,-3.189102415900614,0.071769222474264
16,Energy,XLE & OIH,-2.508910328410401,0.2751535022446773
17,Energy,IYE & OIH,-2.443730437599643,0.3044327353047588
18,Energy,XLE & VDE,-2.423769373257362,0.3136814502971724
19,Energy,VDE & OIH,-2.4016920288854506,0.3240540127921785
20,Energy,IYE & VDE,-2.2355662589154024,0.40610571315669075
21,Energy,XOP & OIH,-2.0278155641495834,0.51409208922522
22,Energy,XOP & AMLP,-1.7263230080882128,0.6647708673670676
23,Energy,XLE & AMLP,-1.6721013862454583,0.6895219298717964
24,Energy,IYE & AMLP,-1.6290316618629865,0.7084818092269609
25,Energy,VDE & AMLP,-1.5797859143981157,0.7293460267871454
26,Energy,AMLP & OIH,-1.5232689113134414,0.7521616974824126
27,Financials,XLF & VFH,-3.6065712644684584,0.024046596966230186
28,Financials,XLF & IYF,-2.343176578739062,0.3522174404268057
29,Financials,IYF & VFH,-2.1716421231603484,0.4390315964175106
30,Financials,XLF & KBE,-1.4820595189863657,0.7680069948318999
31,Financials,VFH & KBE,-1.399559343514283,0.7976642525851512
32,Financials,IYF & KBE,-1.2058707254038237,0.8563569897391894
33,Financials,XLF & KRE,0.46231733038690764,0.9923879080647222
34,Financials,VFH & KRE,0.5766569887084169,0.9930984870523514
35,Financials,KBE & KRE,0.6403098107600889,0.9933923242181345
36,Financials,IYF & KRE,0.7165888304851906,0.9936589221544022
37,Health Care,IBB & VHT,-2.284491031070551,0.3813166213935105
38,Health Care,IBB & XBI,-1.9774422530959646,0.5402821404911099
39,Health Care,XBI & VHT,-1.8730254836247415,0.5936226480236207
40,Health Care,IYH & VHT,-1.8558607517002172,0.6022137020219401
41,Health Care,XLV & IYH,-1.8014847246196923,0.6290006526666697
42,Health Care,XLV & VHT,-1.5241328753849794,0.751822274118032
43,Health Care,IYH & IBB,-1.4881369339065573,0.7657128859234369
44,Health Care,IYH & XBI,-1.4615477062698883,0.775639712971927
45,Health Care,XLV & IBB,-1.4466161389381258,0.7810885615981324
46,Health Care,XLV & XBI,-1.3823922577714507,0.8034849329880598
47,Industrials,XLI & VIS,-3.073777699932044,0.09369189610492024
48,Industrials,IYJ & VIS,-1.4257744916393307,0.7885419844085915
49,Industrials,XLI & IYJ,-1.412547776047294,0.7931798520308464
50,Information Technology,IYW & VGT,-2.5288349683856546,0.2665021584537155
51,Information Technology,IYW & IGV,-2.255387016097742,0.39601248447360154
52,Information Technology,VGT & IGV,-2.143500510334517,0.4536611119817878
53,Information Technology,XLK & IGV,-1.9252671627422395,0.5671388840946618
54,Information Technology,FDN & IGV,-1.5228523026897245,0.7523252642659959
55,Information Technology,XLK & IYW,-1.4224985530162746,0.7896973588808356
56,Information Technology,XLK & VGT,-1.2496054841689919,0.844428395810801
57,Information Technology,XLK & FDN,-0.8926676807125251,0.9213875355992103
58,Information Technology,VGT & FDN,-0.8764919219183818,0.923882021867875
59,Information Technology,IYW & FDN,-0.8280048072508238,0.9309228591258424
60,Materials,XLB & IYM,-3.8593148249126417,0.011278087552495595
61,Materials,XLB & VAW,-3.5677329949493153,0.02684503562427939
62,Materials,IYM & VAW,-3.163564813586243,0.0762352480317654
63,Materials,GDX & GDXJ,-2.037190178450534,0.5091998988159334
64,Materials,IYM & GDX,-1.711785467306604,0.6714990228523182
65,Materials,XLB & GDX,-1.6989782536449791,0.677371389039374
66,Materials,VAW & GDX,-1.6901520068949805,0.6813877481657931
67,Materials,IYM & GDXJ,-1.5512648054550062,0.7410141967987975
68,Materials,XLB & GDXJ,-1.518458967834563,0.7540459820553134
69,Materials,VAW & GDXJ,-1.4756008559767595,0.7704287032396075
70,Real Estate,RWR & XLRE,-2.453685673709038,0.29986781804462614
71,Real Estate,RWR & VNQ,-1.936425178002216,0.5614251127263795
72,Real Estate,XLRE & VNQ,-1.847451446358851,0.6064002622019471
73,Utilities,XLU & VPU,-3.265378485041438,0.059657703813442646
74,Utilities,XLU & IDU,-2.096615345164677,0.47813657894192935
75,Utilities,IDU & VPU,-1.9303331029213473,0.5645469595931301
